,odor,CID,IUPAC,concentration,concentration_type,solvent,species,gender,age,starvation,assay,response,reference,remarks,stage,age in h/d AEL,fig.table,log_conc,starvation_bool
14,geranyl acetate,1549026.0,"[(2E)-3,7-dimethylocta-2,6-dienyl] acetate",0.004,V/V,water,DMel,F,5.5,0.0,Y-maze,0.67,Schlief2007,,adult,,,-2.0,False
15,geranyl acetate,1549026.0,"[(2E)-3,7-dimethylocta-2,6-dienyl] acetate",0.01,V/V,water or paraffin oil,DMel,both,5.0,22.5,T-maze,-0.12,MacWilliam2018,,adult,,,-2.0,True
16,geranyl acetate,1549026.0,"[(2E)-3,7-dimethylocta-2,6-dienyl] acetate",0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.3,Knaden2012,,adult,,,-2.0,True
45,isopentyl acetate,31276.0,3-methylbutyl acetate,0.01,V/V,Paraffin oil,DMel,,,0.0,T-maze,-0.59,Störtkuhl1999,,adult,,,-2.0,False
46,isopentyl acetate,31276.0,3-methylbutyl acetate,0.01,V/V,Paraffin oil,DMel,,6.0,0.0,T-maze,-0.29,Devaud2001,Paraffin oil pre-exposed data added,adult,,,-2.0,False
47,isopentyl acetate,31276.0,3-methylbutyl acetate,0.01,V/V,Paraffin oil,DMel,,1.0,0.0,T-maze,-0.16,Devaud2003,,adult,,,-2.0,False
48,isopentyl acetate,31276.0,3-methylbutyl acetate,0.01,V/V,Paraffin oil,DMel,,6.0,0.0,T-maze,-0.29,Devaud2003,,adult,,,-2.0,False
49,isopentyl acetate,31276.0,3-methylbutyl acetate,0.01,V/V,Paraffin oil,DMel,,12.0,0.0,T-maze,-0.21,Devaud2003,,adult,,,-2.0,False
50,isopentyl acetate,31276.0,3-methylbutyl acetate,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,-0.13,Knaden2012,,adult,,,-2.0,True
51,butyl acetate,31272.0,butyl acetate,0.01,V/V,water or paraffin oil,DMel,both,5.0,22.5,T-maze,-0.08,MacWilliam2018,,adult,,,-2.0,True
52,butyl acetate,31272.0,butyl acetate,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,-0.14,Knaden2012,,adult,,,-2.0,True
91,pentyl acetate,12348.0,pentyl acetate,1e-06,V/V,Paraffin oil,DMel,,3.0,18.0,Y-maze,0.19,Ayyub1990,,adult,,,-6.0,True
92,pentyl acetate,12348.0,pentyl acetate,1e-05,V/V,Paraffin oil,DMel,,3.0,18.0,Y-maze,0.36,Ayyub1990,,adult,,,-5.0,True
93,pentyl acetate,12348.0,pentyl acetate,0.0001,V/V,Paraffin oil,DMel,,3.0,18.0,Y-maze,0.79,Ayyub1990,,adult,,,-4.0,True
94,pentyl acetate,12348.0,pentyl acetate,0.1,V/V,,DMel,,5.0,24.0,T-maze,-0.23,Silbering2011,Solvent: water or paraffin oil,adult,,,-1.0,True
95,pentyl acetate,12348.0,pentyl acetate,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.12,Knaden2012,,adult,,,-2.0,True
98,Methyl butyrate,12180.0,methyl butanoate,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.04,Knaden2012,,adult,,,-2.0,True
106,3-Octanol,11527.0,octan-3-ol,0.01,V/V,Paraffin oil,DMel,,,0.0,T-maze,-0.69,Freeman1999,,adult,,,-2.0,False
107,3-Octanol,11527.0,octan-3-ol,0.01,V/V,ethylene glycol,DMel,M,,0.0,T-maze,-0.6,Helfand1989,A response index is computed by subtracting the number of animals on the odorant side from the number on the control side and dividing by the total.,adult,,,-2.0,False
124,hexyl acetate,8908.0,hexyl acetate,0.01,V/V,water or paraffin oil,DMel,both,5.0,22.5,T-maze,-0.25,MacWilliam2018,,adult,,,-2.0,True
125,hexyl acetate,8908.0,hexyl acetate,0.01,V/V,water + Triton X-100,DMel,both,4.5,24.0,Dual-port,0.32,Knaden2012,,adult,,,-2.0,True
133,ethyl acetate,8857.0,ethyl acetate,0.001,V/V,Paraffin oil,DMel,both,4.5,0.0,T-maze,-0.68,Heimbeck2001,,adult,,,-3.0,False
134,ethyl acetate,8857.0,ethyl acetate,0.01,V/V,Paraffin oil,DMel,both,4.5,0.0,T-maze,-0.81,Heimbeck2001,,adult,,,-2.0,False
135,ethyl acetate,8857.0,ethyl acetate,1e-06,V/V,Paraffin oil,DMel,,3.0,18.0,Y-maze,0.12,Ayyub1990,,adult,,,-6.0,True
136,ethyl acetate,8857.0,ethyl acetate,1e-05,V/V,Paraffin oil,DMel,,3.0,18.0,Y-maze,0.29,Ayyub1990,,adult,,,-5.0,True
137,ethyl acetate,8857.0,ethyl acetate,0.0001,V/V,Paraffin oil,DMel,,3.0,18.0,Y-maze,0.55,Ayyub1990,,adult,,,-4.0,True
138,ethyl acetate,8857.0,ethyl acetate,0.001,V/V,Paraffin oil,DMel,,3.0,18.0,Y-maze,0.81,Ayyub1990,,adult,,,-3.0,True
139,ethyl acetate,8857.0,ethyl acetate,0.0001,V/V,mineral oil,DMel,,,0.0,T-maze,0.4,Ai2010,,adult,,,-4.0,False
140,ethyl acetate,8857.0,ethyl acetate,1e-08,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,0.0,Stensmyr2003,,adult,,,-8.0,False
141,ethyl acetate,8857.0,ethyl acetate,1e-07,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,-0.1,Stensmyr2003,,adult,,,-7.0,False
142,ethyl acetate,8857.0,ethyl acetate,1e-06,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,0.19,Stensmyr2003,,adult,,,-6.0,False
143,ethyl acetate,8857.0,ethyl acetate,1e-05,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,0.26,Stensmyr2003,,adult,,,-5.0,False
144,ethyl acetate,8857.0,ethyl acetate,0.0001,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,0.45,Stensmyr2003,,adult,,,-4.0,False
145,ethyl acetate,8857.0,ethyl acetate,0.001,W/V,Paraffin oil,DMel,,5.5,0.0,T-maze,0.38,Stensmyr2003,,adult,,,-3.0,False
